Il y a un stage à faire ?	Oui, Il y a un stage à faire.
Est ce qu'il y a un stage dans cette formation ?	Oui, Il y a un stage à faire.
Il faut faire un stage ?	Oui, Il y a un stage à faire.
Doit-on obligatoirement faire un stage ?	Oui, Il y a un stage à faire.
Est ce que le stage est obligatoire ?	Oui, Il y a un stage à faire.
Avons nous la possibilité d'effectuer un stage lors du master?	Oui, Il y a un stage à faire.
Est-ce qu'il y a un stage obligatoire en fin d'année ?	Oui, Il y a un stage à faire.
Faut-il faire un stage en fin d'année ?	Oui, Il y a un stage à faire.

Quelle est la durée de stage ?	Le stage doit avoir une durée de 4 à 6 mois.
La durée du stage ?	Le stage doit avoir une durée de 4 à 6 mois.
Quelle est la durée minimale de stage de fin d'étude ?	Le stage doit avoir une durée de 4 à 6 mois.
Le stage dure combien de temps ?	Le stage doit avoir une durée de 4 à 6 mois.
Combien de temps dure le stage ?	Le stage doit avoir une durée de 4 à 6 mois.
Combien de temps doit durer le stage ?	Le stage doit avoir une durée de 4 à 6 mois.
combien de temps dure le stage en laboratoire ?	Le stage doit avoir une durée de 4 à 6 mois.

C'est quand les dates des stages ?	Le stage ne doit pas démarrer avant fin Janvier, et ne peut dépasser le 30 Septembre.
Peut-on commencer le stage avant le 1er Mars ?	Le stage ne doit pas démarrer avant fin Janvier, et ne peut dépasser le 30 Septembre.
Quand faut-il commencer le stage ?	Le stage ne doit pas démarrer avant fin Janvier, et ne peut dépasser le 30 Septembre.
Quand est-ce que le stage commence ?	Le stage ne doit pas démarrer avant fin Janvier, et ne peut dépasser le 30 Septembre.
Quelle est la date de fin du stage ?	Le stage ne doit pas démarrer avant fin Janvier, et ne peut dépasser le 30 Septembre.
Quelle est la date de début de stage ?	Le stage ne doit pas démarrer avant fin Janvier, et ne peut dépasser le 30 Septembre.
Quand pouvons nous commencer le stage ?	Le stage ne doit pas démarrer avant fin Janvier, et ne peut dépasser le 30 Septembre.
Quand doit on commencer le stage de fin d'étude ?	Le stage ne doit pas démarrer avant fin Janvier, et ne peut dépasser le 30 Septembre.
Le stage s'éffectue durant quelle période ?	Le stage ne doit pas démarrer avant fin Janvier, et ne peut dépasser le 30 Septembre.
Quand commence les stages ?	Le stage ne doit pas démarrer avant fin Janvier, et ne peut dépasser le 30 Septembre.

