Il y a plusieurs parcours ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
Quels sont les différents parcours ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
Quelles sont les mentions ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
Quels sont les parcours ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
Combien de parcours sont proposés ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
Combien y a-t-il de parcours différents ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
C'est un master seulement ouvert en informatique ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
Quels sont les parcours que tu peux me proposer ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
Quels parcours sont disponibles ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
Quels parcours existe-t-il ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
Il y a-t-il un parcours Token_parcours ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
Quelles sont les spécialisations du master 2 ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.
Quels sont les parcours du master 2 ?	Le Master Data Science possède deux parcours : Le parcours Mathématiques et le parcours Informatique.

Quelle est la différence entre le parcours Token_parcours et celui de Token_op_parcours ?	Le contenu est le même, seules les UE de remise à niveau sont différentes.
Quel différences entres les parcours ?	Le contenu est le même, seules les UE de remise à niveau sont différentes.
Il y a une différence entre le parcours Token_parcours et Token_op_parcours ?	Le contenu est le même, seules les UE de remise à niveau sont différentes.
Quelle est la différence entre le parcours Token_parcours et Token_op_parcours ?	Le contenu est le même, seules les UE de remise à niveau sont différentes.
Les cours sont les mêmes entre parcours Token_parcours et Token_op_parcours ?	Le contenu est le même, seules les UE de remise à niveau sont différentes.
Le diplôme de master 2 Data Science Token_parcours est-il différent de celui du parcours Token_op_parcours ?	Le contenu est le même, seules les UE de remise à niveau sont différentes.
Les étudiants du parcours Token_op_parcours suivent les memes cours ?	Le contenu est le même, seules les UE de remise à niveau sont différentes.

Il vaut mieux faire le parcours Informatique ou mathématiques ?	Les deux parcours sont équivalents, c'est à vous de faire un choix.
Il vaut mieux suivre quel parcours ?	Les deux parcours sont équivalents, c'est à vous de faire un choix.
Quel parcours me conseillez-vous ?	Les deux parcours sont équivalents, c'est à vous de faire un choix.
Quel est le parcours le plus intéressant ?	Les deux parcours sont équivalents, c'est à vous de faire un choix.
J'hésite entre les deux parcours	Les deux parcours sont équivalents, c'est à vous de faire un choix.
Il vaut mieux faire quel parcours ?	Les deux parcours sont équivalents, c'est à vous de faire un choix.

Et est-ce qu'on peut s'inscrire aux deux parcours ?	Vous pouvez, mais sachez que chaque parcours possède ses propres prérequis.
On peut s'inscrire aux deux parcours ?	Vous pouvez, mais sachez que chaque parcours possède ses propres prérequis.
Et c'est possible de s'inscrire aux deux ?	Vous pouvez, mais sachez que chaque parcours possède ses propres prérequis.
Et on peut candidater aux deux parcours ?	Vous pouvez, mais sachez que chaque parcours possède ses propres prérequis.
Et c'est possible de candidater aux deux ?	Vous pouvez, mais sachez que chaque parcours possède ses propres prérequis.
Je voudrais candidater aux deux parcours	Vous pouvez, mais sachez que chaque parcours possède ses propres prérequis.

Pourquoi il y a plusieurs parcours ?	Les deux parcours proposés permettent d'adapter l'enseignement aux étudiants suivant leur profil.
Pourquoi il existe deux parcours ?	Les deux parcours proposés permettent d'adapter l'enseignement aux étudiants suivant leur profil.
Pourquoi avez vous 2 parcours ?	Les deux parcours proposés permettent d'adapter l'enseignement aux étudiants suivant leur profil.

C'est plus facile pour les Matheux ou les Infos ?	Chacun a ses facilités et ses difficultés.
C'est plus facile en parcours Math ou Info ?	Chacun a ses facilités et ses difficultés.
