Comment ca va ?	Je vais bien merci, en quoi puis-je vous aider ?
Comment allez-vous ?	Je vais bien merci, en quoi puis-je vous aider ?
Ca va ?	Je vais bien merci, en quoi puis-je vous aider ?
Bonjour ca va ?	Je vais bien merci, en quoi puis-je vous aider ?

Je vais bien	J'en suis ravi. En quoi puis-je vous aider ?
Ca peut aller	J'en suis ravi. En quoi puis-je vous aider ?

Ca ne va pas	Gardez courage.. En quoi puis-je vous aider ?
Ca ne va pas bien	Gardez courage.. En quoi puis-je vous aider ?
Ca ne va pas très bien	Gardez courage.. En quoi puis-je vous aider ?
Ca va mal	Gardez courage.. En quoi puis-je vous aider ?
