Quels sont les cours proposés dans le cadre de le Master Data Science ?	Ce Master comprend des cours tels que Machine Learning, Models Graphiques Probabilistes ou encore fondamentaux mathématiques pour la Data Science.
Puis-je suivre ce master sans avoir fait de cours similaires avant ?	 Oui, pourvu que vous ayez un bagage suffisant en mathématiques et informatique. 
Le stage de fin d'études doit être orienté recherche uniquement ?	 Le stage peut être applicatif pourvu qu'il y ait une démarche de recherche. 
Êtes-vous un chatbot ou un humain ?	Je vous laisse deviner. Je ne ferai pas de test de Turing aujourd'hui. 
J'aime beaucoup les mathématiques et je m'intéresse à l'extraction de connaissances. Pensez-vous que le master intelligence artigiciel m'est plus adapté que le master data science ?	Si vous avez un profil plutôt mathématiques, je vous conseille le master data science.
A-t-on de bonnes chances d'être recruté à l'issu de ce master ?	La Data Science est un domaine en pleine expansion, les débouchés sont nombreux. Vous devriez donc avoir de bonnes chances. 
Je ne vois pas de module de Deep Learning dans le programme du Master. Les réseaux de neurones sont-ils abordés dans le parcours Data Science ?	Oui, les réseaux de neurones sont abordés en Machine Learning notamment. 
Y a-t-il des machines à café dans le bâtiment Nautibus ?	 Oui, il y en a même sur tout le campus. 
A-t-on besoin d'avoir son propre ordinateur pour ce parcours ?	Il n'est pas indispensable d'avoir son propre PC mais cela est fortement recommandé. 
Le parcours est-il ouvert aux étudiants étrangers ?	​Les étudiants étrangers peuvent s'inscrire. 
Qui est le responsable du master ?	Alexandre Aussem
Si je ne viens pas de Lyon ?	Cinq places pour les titulaires d'un master français
Les cours sont en quelle langue ?	En français avec support écrit anglais
Faut il parler anglais ?	Le niveau B2 du TOEIC est requis pour valider le master
A t-on à choisir entre certaines matières ?	Non, toutes les matières sont obligatoires
Les matières sont en controle continu ?	Cela dépend des matières
Il y a des rattrapages ?	Cela dépend des matières
Quelles sont les horaires ?	Cela dépend des jours, voir la page planning
Faut il avoir son propre PC ?	C'est conseillé mais pas obligatoire
Quel est le cout du Master ?	Vous devriez poser la question au service de scolarité
Quels sont les cours proposés dans le cadre de le Master Data Science ?	Ce Master comprend des cours tels que Machine Learning, Models Graphiques Probabilistes ou encore fondamentaux mathématiques pour la Data Science.
Puis-je suivre ce master sans avoir fait de cours similaires avant ?	 Oui, pourvu que vous ayez un bagage suffisant en mathématiques et informatique. 
Le stage de fin d'études doit être orienté recherche uniquement ?	 Le stage peut être applicatif pourvu qu'il y ait une démarche de recherche. 
Êtes-vous un chatbot ou un humain ?	Je vous laisse deviner. Je ne ferai pas de test de Turing aujourd'hui. 
J'aime beaucoup les mathématiques et je m'intéresse à l'extraction de connaissances. Pensez-vous que le master intelligence artigiciel m'est plus adapté que le master data science ?	Si vous avez un profil plutôt mathématiques, je vous conseille le master data science.
A-t-on de bonnes chances d'être recruté à l'issu de ce master ?	La Data Science est un domaine en pleine expansion, les débouchés sont nombreux. Vous devriez donc avoir de bonnes chances. 
Je ne vois pas de module de Deep Learning dans le programme du Master. Les réseaux de neurones sont-ils abordés dans le parcours Data Science ?	Oui, les réseaux de neurones sont abordés en Machine Learning notamment. 
Y a-t-il des machines à café dans le bâtiment Nautibus ?	 Oui, il y en a même sur tout le campus. 
A-t-on besoin d'avoir son propre ordinateur pour ce parcours ?	Il n'est pas indispensable d'avoir son propre PC mais cela est fortement recommandé. 
Le parcours est-il ouvert aux étudiants étrangers ?	​Les étudiants étrangers peuvent s'inscrire. 
